signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2012-12-28,1326.TW,549000,1000000000.0,75.0,D-1 estimated accounting; fill-day constraints require ledger audit,549000.0,0.0412125,0.0
2012-12-28,1590.TW,245000,1000000000.0,168.0,D-1 estimated accounting; fill-day constraints require ledger audit,245000.0,0.041244,0.0
2012-12-28,1605.TW,4162000,1000000000.0,9.920000000000002,D-1 estimated accounting; fill-day constraints require ledger audit,4162000.0,0.04129200000000001,0.0
2012-12-28,1802.TW,1376000,1000000000.0,30.0,D-1 estimated accounting; fill-day constraints require ledger audit,1376000.0,0.041295,0.0
2012-12-28,2059.TW,223000,1000000000.0,184.0,D-1 estimated accounting; fill-day constraints require ledger audit,223000.0,0.041124,0.0
2012-12-28,2207.TW,176000,1000000000.0,233.0,D-1 estimated accounting; fill-day constraints require ledger audit,176000.0,0.0411245,0.0
2012-12-28,2345.TW,2556000,1000000000.0,16.15,D-1 estimated accounting; fill-day constraints require ledger audit,2556000.0,0.041287475,0.0
2012-12-28,2368.TW,6791000,1000000000.0,6.08,D-1 estimated accounting; fill-day constraints require ledger audit,6791000.0,0.04129232,0.0
2012-12-28,2376.TW,1587000,1000000000.0,26.0,D-1 estimated accounting; fill-day constraints require ledger audit,1587000.0,0.041275,0.0
2012-12-28,2395.TW,336000,1000000000.0,122.5,D-1 estimated accounting; fill-day constraints require ledger audit,336000.0,0.04122125,0.0
2012-12-28,2408.TW,16516000,1000000000.0,2.5,D-1 estimated accounting; fill-day constraints require ledger audit,16516000.0,0.04129125,0.0
2012-12-28,2449.TW,2231000,1000000000.0,18.5,D-1 estimated accounting; fill-day constraints require ledger audit,2231000.0,0.04128275,0.0
2012-12-28,2609.TW,2970000,1000000000.0,13.9,D-1 estimated accounting; fill-day constraints require ledger audit,2970000.0,0.04128995,0.0
2012-12-28,2881.TW,1176000,1000000000.0,35.1,D-1 estimated accounting; fill-day constraints require ledger audit,1176000.0,0.04129515,0.0
2012-12-28,3017.TW,2663000,1000000000.0,15.5,D-1 estimated accounting; fill-day constraints require ledger audit,2663000.0,0.04128425,0.0
2012-12-28,3363.TWO,1433000,1000000000.0,28.8,D-1 estimated accounting; fill-day constraints require ledger audit,1433000.0,0.0412848,0.0
2012-12-28,3491.TWO,752000,1000000000.0,54.8,D-1 estimated accounting; fill-day constraints require ledger audit,752000.0,0.041237,0.0
2012-12-28,3529.TWO,647000,1000000000.0,63.7,D-1 estimated accounting; fill-day constraints require ledger audit,647000.0,0.04124575,0.0
2012-12-28,3653.TW,614000,1000000000.0,67.1,D-1 estimated accounting; fill-day constraints require ledger audit,614000.0,0.04123295,0.0
2012-12-28,4123.TWO,1069000,1000000000.0,38.6,D-1 estimated accounting; fill-day constraints require ledger audit,1069000.0,0.0412827,0.0
2012-12-28,4979.TWO,732000,1000000000.0,56.3,D-1 estimated accounting; fill-day constraints require ledger audit,732000.0,0.04123975,0.0
2012-12-28,6182.TWO,2808000,1000000000.0,14.7,D-1 estimated accounting; fill-day constraints require ledger audit,2808000.0,0.04128495,0.0
2013-01-07,1590.TW,-245000,999490067.0970811,157.0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2013-01-07,5483.TWO,1060000,999490067.0970811,40.7,D-1 estimated accounting; fill-day constraints require ledger audit,1060000.0,0.04318437113173193,0.0
2013-01-08,3653.TW,-614000,1002355626.6233747,63.2,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2013-01-08,5347.TWO,1985000,1002355626.6233747,21.8,D-1 estimated accounting; fill-day constraints require ledger audit,1985000.0,0.04318217890970497,0.0
2013-01-16,2449.TW,-2231000,1002883953.4927301,17.65,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2013-01-16,3260.TWO,1183000,1002883953.4927301,36.6,D-1 estimated accounting; fill-day constraints require ledger audit,1183000.0,0.04319153761424103,0.0
2013-01-18,2207.TW,-176000,990142592.4965922,227.0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2013-01-18,2344.TW,7397000,990142592.4965922,5.78,D-1 estimated accounting; fill-day constraints require ledger audit,7397000.0,0.04318322464261344,0.0
2013-01-22,3231.TW,1270000,988404188.629164,33.6,D-1 estimated accounting; fill-day constraints require ledger audit,1270000.0,0.04318961867129062,0.0
2013-01-22,6182.TWO,-2808000,988404188.629164,15.9,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2013-01-24,1802.TW,-1376000,987287569.0434625,28.3,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2013-01-24,3680.TWO,525000,987287569.0434625,81.2,D-1 estimated accounting; fill-day constraints require ledger audit,525000.0,0.0432200316685255,0.0
2013-01-25,2408.TW,-16516000,978039331.0997319,2.66,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2013-01-25,8210.TW,1138000,978039331.0997319,37.1,D-1 estimated accounting; fill-day constraints require ledger audit,1138000.0,0.04318676014031679,0.0
2013-01-30,3491.TWO,-752000,1003633613.5634555,53.3,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2013-01-30,5871.TW,577000,1003633613.5634555,75.0,D-1 estimated accounting; fill-day constraints require ledger audit,577000.0,0.043155688903460124,0.0
