date,symbol,shares,close,weight
2014-10-20,1101.TW,912000.0,45.55,0.04163577700592246
2014-10-20,2002.TW,1637000.0,25.4,0.041674063607344325
2014-10-20,2059.TW,106000.0,391.0,0.04153996027566253
2014-10-20,2330.TW,333000.0,126.0,0.04205312100676177
2014-10-20,2412.TW,457000.0,91.1,0.04172708353444422
2014-10-20,2603.TW,2358000.0,17.75,0.041949386366783706
2014-10-20,2609.TW,3080000.0,13.7,0.042291660565358685
2014-10-20,2610.TW,4128000.0,10.15,0.04199418770404959
2014-10-20,2615.TW,1859000.0,22.1,0.041177039375797225
2014-10-20,2618.TW,2629000.0,16.1,0.04242285732258699
2014-10-20,2801.TW,2292000.0,18.1,0.04157924914413731
2014-10-20,2812.TW,4128000.0,10.1,0.04178731978432521
2014-10-20,3034.TW,274000.0,151.5,0.04160510763410286
2014-10-20,3036.TW,907000.0,45.8,0.041634774738869534
2014-10-20,3045.TW,425000.0,96.8,0.041233266557466494
2014-10-20,3293.TWO,254000.0,155.0,0.039459253873783566
2014-10-20,3363.TWO,1474000.0,29.95,0.044246381998684574
2014-10-20,3443.TW,475000.0,89.9,0.042799308827666825
2014-10-20,3533.TW,333000.0,128.0,0.04272063086401196
2014-10-20,4904.TW,654000.0,62.4,0.040902117523179016
2014-10-20,6023.TWO,1248000.0,33.0,0.04127736630779534
2014-10-20,8358.TWO,4128000.0,10.0,0.041373583944876446
2014-10-21,1101.TW,912000.0,45.4,0.04140971015739473
2014-10-21,2002.TW,1637000.0,25.75,0.042157748856101726
2014-10-21,2059.TW,106000.0,383.0,0.040602814479720015
2014-10-21,2330.TW,333000.0,125.0,0.0416299362707115
2014-10-21,2412.TW,457000.0,91.7,0.041911869700974894
2014-10-21,2603.TW,2358000.0,17.45,0.04115197959698722
2014-10-21,2609.TW,3080000.0,13.6,0.04189296745964116
2014-10-21,2610.TW,4128000.0,10.3,0.04252344221820108
2014-10-21,2615.TW,1859000.0,22.3,0.041460616193579214
2014-10-21,2618.TW,2629000.0,16.45,0.04325217862813871
2014-10-21,2801.TW,2292000.0,18.05,0.04137550610164798
2014-10-21,2812.TW,4128000.0,10.1,0.04169774431105154
2014-10-21,3034.TW,274000.0,151.0,0.041378906504850876
2014-10-21,3036.TW,907000.0,44.75,0.040593063323476425
2014-10-21,3045.TW,425000.0,96.0,0.04080483843471542
2014-10-21,3293.TWO,254000.0,159.5,0.04051780439964769
2014-10-21,3363.TWO,1474000.0,30.85,0.04547829258965615
2014-10-21,3443.TW,475000.0,91.7,0.04356266544412051
2014-10-21,3533.TW,333000.0,129.0,0.042962094231374266
2014-10-21,4904.TW,654000.0,61.7,0.040356585283087
2014-10-21,6023.TWO,1248000.0,33.05,0.04125129137288348
2014-10-21,8358.TWO,4128000.0,10.0,0.04128489535747677
2014-10-22,1101.TW,912000.0,45.55,0.04141239643008076
2014-10-22,2002.TW,1637000.0,25.85,0.04218483647509222
2014-10-22,2059.TW,106000.0,388.0,0.04100008281761804
2014-10-22,2330.TW,333000.0,129.0,0.04282339422282674
2014-10-22,2412.TW,457000.0,91.6,0.04173100240334741
2014-10-22,2603.TW,2358000.0,17.65,0.041489256632017114
2014-10-22,2609.TW,3080000.0,13.65,0.04191124007533305
2014-10-22,2610.TW,4128000.0,10.5,0.04320919056717653
2014-10-22,2615.TW,1859000.0,23.0,0.04262401626709041
2014-10-22,2618.TW,2629000.0,16.6,0.043505665587356454
2014-10-22,2801.TW,2292000.0,18.25,0.04169890255247386
2014-10-22,2812.TW,4128000.0,10.1,0.04156312616461742
2014-10-22,3034.TW,274000.0,151.0,0.04124531770317372
2014-10-22,3036.TW,907000.0,45.3,0.04095931002566996
2014-10-22,3045.TW,425000.0,95.4,0.04041889607664665
2014-10-22,3293.TWO,254000.0,156.0,0.03950076059048087
2014-10-22,3363.TWO,1474000.0,30.5,0.04481717378019
2014-10-22,3443.TW,475000.0,90.7,0.04294850389005128
2014-10-22,3533.TW,333000.0,126.5,0.04199348348207428
2014-10-22,4904.TW,654000.0,61.2,0.039900314013776465
2014-10-22,6023.TWO,1248000.0,33.3,0.04142914417836261
2014-10-22,8358.TWO,4128000.0,10.0,0.04115161006397765
2014-10-23,1101.TW,912000.0,45.75,0.04121321678645218
2014-10-23,2002.TW,1637000.0,25.8,0.041717566045659404
2014-10-23,2059.TW,106000.0,388.0,0.04062451298996273
2014-10-23,2330.TW,333000.0,127.5,0.041937737314514265
2014-10-23,2412.TW,457000.0,91.4,0.04125845610504147
2014-10-23,2603.TW,2358000.0,18.4,0.04285605597155493
2014-10-23,2609.TW,3080000.0,13.9,0.04228789754245975
2014-10-23,2610.TW,4128000.0,11.0,0.04485211743455135
2014-10-23,2615.TW,1859000.0,23.3,0.042784443513089354
2014-10-23,2618.TW,2629000.0,17.7,0.045963641565741904
2014-10-23,2801.TW,2292000.0,18.55,0.04199611381513931
2014-10-23,2812.TW,4128000.0,10.15,0.04138627199642692
2014-10-23,3034.TW,274000.0,155.5,0.04208540714266053
2014-10-23,3036.TW,907000.0,45.0,0.040315344721001
2014-10-23,3045.TW,425000.0,95.7,0.04017458919918934
2014-10-23,3293.TWO,254000.0,152.5,0.03826080798157475
2014-10-23,3363.TWO,1474000.0,30.4,0.044261043018747184
2014-10-23,3443.TW,475000.0,92.3,0.04330578221071876
2014-10-23,3533.TW,333000.0,127.5,0.041937737314514265
2014-10-23,4904.TW,654000.0,60.7,0.039211821429997636
2014-10-23,6023.TWO,1248000.0,33.3,0.04104964405373632
2014-10-23,8358.TWO,4128000.0,10.0,0.0407746522132285
2014-10-24,1101.TW,912000.0,45.75,0.04172719108795903
2014-10-24,2002.TW,1637000.0,25.75,0.042155973879133474
2014-10-24,2059.TW,106000.0,377.0,0.039965056328660216
2014-10-24,2330.TW,333000.0,125.5,0.041794696250417984
2014-10-24,2412.TW,457000.0,91.7,0.041910105076310766
2014-10-24,2603.TW,2358000.0,17.9,0.0422114281199979
2014-10-24,2609.TW,3080000.0,13.55,0.041737191852767766
2014-10-24,2610.TW,4128000.0,11.0,0.0454114728434964
2014-10-24,2615.TW,1859000.0,21.8,0.04052929947916895
2014-10-24,2618.TW,2629000.0,17.4,0.04574809858695836
2014-10-24,2801.TW,2292000.0,18.6,0.04263446047140732
2014-10-24,2812.TW,4128000.0,10.15,0.04190240448740804
2014-10-24,3034.TW,274000.0,153.5,0.0420622167090516
2014-10-24,3036.TW,907000.0,45.0,0.040818121566845174
2014-10-24,3045.TW,425000.0,96.2,0.04088812692050631
2014-10-24,3293.TWO,254000.0,143.5,0.03645178765135219
2014-10-24,3363.TWO,1474000.0,29.85,0.04400226507429778
2014-10-24,3443.TW,475000.0,90.3,0.042895780455859525
2014-10-24,3533.TW,333000.0,124.5,0.041461670782287165
2014-10-24,4904.TW,654000.0,61.8,0.04042029114275376
2014-10-24,6023.TWO,1248000.0,33.05,0.04124955456069393
2014-10-24,8358.TWO,4128000.0,10.0,0.04128315713045127
2014-10-27,1101.TW,912000.0,45.85,0.04225291591448081
2014-10-27,2002.TW,1637000.0,25.9,0.04284211972720283
