date,signal_date,symbol,trade_symbol,shares,price,notional,fee,tax,slippage_cost,volume_participation,execution_volume
2025-01-02,2024-12-31,2059.TW,2059.TW,29000,1522.527531448215,44153298.411998235,62918.45023709749,0.0,0.0,0.013784737538597266,2103776.0
2025-01-02,2024-12-31,2308.TW,2308.TW,105000,420.32901203363843,44134546.263532035,62891.728425533154,0.0,0.0,0.009226161422150396,11380681.0
2025-01-02,2024-12-31,2377.TW,2377.TW,247000,182.69629920468827,45125985.903558,64304.52991257016,0.0,0.0,0.06313823618352624,3912051.0
2025-01-02,2024-12-31,2379.TW,2379.TW,79000,544.3705915760145,43005276.73450515,61282.51934666983,0.0,0.0,0.01873314165456324,4217125.0
2025-01-02,2024-12-31,2383.TW,2383.TW,73000,600.6545693847722,43847783.56508838,62483.09158025094,0.0,0.0,0.010617732398526841,6875291.0
2025-01-02,2024-12-31,2801.TW,2801.TW,2543000,18.019323015011228,45823138.427173555,65297.972258722315,0.0,0.0,0.031228544574584394,81431909.0
2025-01-02,2024-12-31,3008.TW,3008.TW,16000,2637.497876397841,42199966.02236546,60134.95158187078,0.0,0.0,0.030269607611292833,528583.0
2025-01-02,2024-12-31,3163.TWO,3163.TWO,320000,141.2657341681706,45205034.93381459,64417.1747806858,0.0,0.0,0.07972343938876039,4013876.0
2025-01-02,2024-12-31,3211.TWO,3211.TWO,216000,214.36356615699498,46302530.28991091,65981.10566312305,0.0,0.0,0.008891369324800528,24293221.0
2025-01-02,2024-12-31,3227.TWO,3227.TWO,177000,252.03684385800557,44610521.36286698,63569.99294208545,0.0,0.0,0.02648011104292441,6684262.0
2025-01-02,2024-12-31,3533.TW,3533.TW,23000,1920.71187347336,44176373.08988728,62951.33165308937,0.0,0.0,0.02117616079887527,1086127.0
2025-01-02,2024-12-31,4991.TWO,4991.TWO,333000,133.5460614471509,44470838.46190125,63370.94480820928,0.0,0.0,0.024810063319304843,13421973.0
2025-01-02,2024-12-31,5347.TWO,5347.TWO,454000,101.1472680156586,45920859.679109,65437.22504273033,0.0,0.0,0.07193018146051856,6311676.0
2025-01-02,2024-12-31,5536.TWO,5536.TWO,122000,369.63267184699816,45095185.965333775,64260.64000060063,0.0,0.0,0.17041176791034665,715913.0
2025-01-02,2024-12-31,6121.TWO,6121.TWO,114000,400.8755777729628,45699815.86611776,65122.23760921781,0.0,0.0,0.05867152233557949,1943021.0
2025-01-02,2024-12-31,6139.TW,6139.TW,202000,225.54007957657737,45559096.07446863,64921.711906117795,0.0,0.0,0.09452233698523346,2137061.0
2025-01-02,2024-12-31,6223.TWO,6223.TWO,49000,890.1573334974154,43617709.341373354,62155.23581145703,0.0,0.0,0.016385910257379177,2990374.0
2025-01-02,2024-12-31,6446.TW,6446.TW,73000,609.2220941699862,44473212.874409,63374.328346032824,0.0,0.0,0.07634330223476715,956207.0
2025-01-02,2024-12-31,6510.TWO,6510.TWO,51000,847.1798374143499,43206171.70813184,61568.79468408788,0.0,0.0,0.03631051039762145,1404552.0
2025-01-02,2024-12-31,8299.TWO,8299.TWO,85000,519.0910439545377,44122738.7361357,62874.90269899337,0.0,0.0,0.02062101271491644,4122009.0
2025-01-03,2025-01-02,1504.TW,1504.TW,53000,53.510222699450466,2836041.803070875,4041.3595693759967,0.0,0.0,0.00981536193035945,5399699.0
2025-01-03,2025-01-02,2356.TW,2356.TW,56000,51.75200443543677,2898112.248384459,4129.809953947854,0.0,0.0,0.0014665371190627277,38185191.0
2025-01-03,2025-01-02,2610.TW,2610.TW,107000,26.20836802002814,2804295.378143011,3996.120913853791,0.0,0.0,0.004710493509160061,22715242.0
2025-01-03,2025-01-02,2880.TW,2880.TW,108000,26.39742309528147,2850921.694290399,4062.563414363819,0.0,0.0,0.011432773123921627,9446527.0
2025-01-03,2025-01-02,3036.TW,3036.TW,25000,113.47666073902387,2836916.518475597,4042.6060388277256,0.0,0.0,0.008325341005967605,3002880.0
2025-01-03,2025-01-02,4979.TWO,4979.TWO,14000,203.30032029454688,2846204.4841236565,4055.8413898762105,0.0,0.0,0.00021871426755653794,64010456.0
2025-01-03,2025-01-02,8046.TW,8046.TW,21000,130.66703660135823,2744007.7686285228,3910.211070295645,0.0,0.0,0.006950756209176719,3021254.0
2025-01-06,2025-01-03,2383.TW,2383.TW,-73000,612.2243053809616,44692374.292810194,63686.63336725453,134077.1228784306,0.0,0.01641620337742021,4446826.0
2025-01-06,2025-01-03,3533.TW,3533.TW,-23000,1833.5263783565292,42171106.702200174,60093.82705063525,126513.32010660053,0.0,0.014436010188057277,1593238.0
2025-01-07,2025-01-06,1504.TW,1504.TW,248000,53.22593203571053,13200031.14485621,18810.044381420103,0.0,0.0,0.07396694572287628,3352849.0
2025-01-07,2025-01-06,2356.TW,2356.TW,250000,52.30204133487496,13075510.33371874,18632.602225549206,0.0,0.0,0.00971287196414474,25739040.0
2025-01-07,2025-01-06,2610.TW,2610.TW,507000,26.035234124824218,13199863.701285878,18809.805774332377,0.0,0.0,0.020755020995730115,24427824.0
2025-01-07,2025-01-06,2880.TW,2880.TW,489000,26.829574144368074,13119661.756595988,18695.518003149282,0.0,0.0,0.03564237100923888,13719626.0
2025-01-07,2025-01-06,3036.TW,3036.TW,117000,114.41698108094273,13386786.7864703,19076.17117072018,0.0,0.0,0.05032922626772653,2324693.0
2025-01-07,2025-01-06,4979.TWO,4979.TWO,67000,198.6960804059935,13312637.387201566,18970.508276762233,0.0,0.0,0.003052377198195635,21950105.0
2025-01-07,2025-01-06,8046.TW,8046.TW,94000,137.18616189577224,12895499.218202591,18376.086385938692,0.0,0.0,0.020197596958671633,4654019.0
2025-01-08,2025-01-07,2610.TW,2610.TW,-614000,26.02552815091089,15979674.284659287,22771.035855639486,47939.02285397786,0.0,0.028375395389645244,21638465.0
2025-01-08,2025-01-07,4991.TWO,4991.TWO,-333000,124.58339398381631,41486270.19661083,59117.93503017043,124458.8105898325,0.0,0.01809867298681748,18399139.0
