date,nav,economic_nav,cash,cash_ratio,holdings,dividend_receivable,odd_residual_names,fees,taxes,costs,traded_notional,turnover,violations,active_cap_breaches,passive_cap_breaches,overdue_passive_caps,active_share_status,submission_status,stale_count,executed_plan,terminal_dividend_credit
2025-01-02,992758094.0828477,992758094.0828477,100671595.19638371,0.10140596767371454,20,0.0,0,1279719.3767333084,0.0,1279719.3767333084,898048685.4268831,0.8980486854268831,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-01-03,991979146.6053365,991979146.6053365,12169596.73934248,0.012267996541044436,24,0.0,0,125935.88915923185,0.0,125935.88915923185,88376062.567882,0.08902074240908363,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-01-06,1010427352.4085097,1010427352.4085097,189579251.75825384,0.1876228422621007,20,0.0,0,253932.4093131594,534594.545922441,788526.9552356004,178198181.97414696,0.179639040381001,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-01-07,1014074952.5781859,1014074952.5781859,99889950.80872536,0.09850351845764949,21,0.0,0,127625.3876756403,0.0,127625.3876756403,89561675.56185284,0.08863742192683992,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-01-08,1019460542.6774235,1020562921.9543035,141192644.25971618,0.13849740951121067,20,1102379.27688,0,59117.93503017043,124458.8105898325,183576.74562000294,41486270.19661083,0.04091045744807725,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-01-09,996605565.1748464,997707944.4517264,107871764.05583538,0.10823917488049563,22,1102379.27688,0,47414.688359617685,0.0,47414.688359617685,33273465.51552118,0.03263830636165144,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH,0.0
2025-01-10,1001106198.0918688,1002208577.3687488,188301098.37075365,0.1880930302196309,20,1102379.27688,0,115121.21276524474,242360.44792683105,357481.6606920758,80786815.97561035,0.08106197556847573,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-01-13,974412415.9580097,975514795.2348897,104693311.82659703,0.10744250597799092,28,1102379.27688,0,118971.56135049873,0.0,118971.56135049873,83488814.98280612,0.08339656186520242,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH,0.0
2025-01-14,985044311.5613306,986146690.8382106,192633709.37282258,0.19555842017654135,25,1102379.27688,0,125872.05032606429,264993.79016013537,390865.84048619965,88331263.38671178,0.09065079830686212,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-01-15,978646531.9536277,979748911.2305077,96244881.64144044,0.0983448860226492,27,1102379.27688,0,137158.62847164742,0.0,137158.62847164742,96251669.10291047,0.0977130348078942,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-01-16,1004845118.6523275,1005947497.9292076,198554623.15208337,0.19759724107370868,24,1102379.27688,0,146439.37589098373,308293.42292838683,454732.79881937057,102764474.30946228,0.1050067322103704,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-01-17,996787036.0011195,997889415.2779995,101417583.32094206,0.1017444846873271,25,1102379.27688,0,138223.31353758535,0.0,138223.31353758535,96998816.51760374,0.09653111182716005,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-01-20,1004138833.4094617,1005241212.6863418,180544187.35753012,0.17980002500700906,23,1102379.27688,0,113256.57107916333,238434.8864824491,351691.4575616124,79478295.4941497,0.07973447950627283,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-01-21,1012383109.4485867,1013485488.7254667,99865012.39890303,0.09864349915250598,23,1102379.27688,0,114804.22829072934,0.0,114804.22829072934,80564370.73033635,0.08023230259583466,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-01-22,1029784266.8418717,1030886646.1187518,194725019.9149196,0.18909302286400204,21,1102379.27688,0,135776.32093044082,285844.8861693491,421621.20709978987,95281628.72311637,0.09411617779262761,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-02-03,999266616.2423565,1000368995.5192366,105954018.69424587,0.1060317806799906,21,1102379.27688,0,126318.67263096098,0.0,126318.67263096098,88644682.5480428,0.08608082819122602,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-02-04,987032378.0799403,988134757.3568203,145483681.73436314,0.14739504495016711,20,1102379.27688,0,56580.13693811827,119116.07776445951,175696.21470257777,39705359.25481983,0.03973449989165846,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-02-05,998450754.1751605,999553133.4520406,103248858.02803929,0.10340906408882947,27,1102379.27688,0,60098.98273111964,0.0,60098.98273111964,42174724.72359273,0.0427288158526619,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH,0.0
2025-02-06,1007720390.6384072,1008822769.9152873,182808041.88087776,0.18140750507694492,25,1102379.27688,0,113875.73712708216,239738.3939517519,353614.13107883406,79912797.9839173,0.08003679465386833,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-02-07,1020609196.8382704,1021711576.1151505,101131848.47640444,0.09908968955962698,25,1102379.27688,0,116222.9578863864,0.0,116222.9578863864,81559970.44658694,0.08093511970608967,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-02-10,1015824741.1054994,1016927120.3823794,141074094.4438952,0.1388764111911346,24,1102379.27688,0,57170.680766064135,120359.32792855609,177530.00869462022,40119775.97618536,0.039309635951225795,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-02-11,1020771495.3312497,1021873874.6081297,107268947.89330703,0.10508615139032391,26,1102379.27688,0,48103.785939624155,0.0,48103.785939624155,33757042.76464853,0.03323116813232122,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_WITH_SETTLED_CASH,0.0
2025-02-12,1009918005.2792604,1011020384.5561404,166936609.86870572,0.16529719145124536,24,1102379.27688,0,85404.33248619451,179798.59470777793,265202.92719397246,59932864.902592644,0.058713301827794356,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-02-13,1014281607.9489022,1015383987.2257823,103084861.06566298,0.10163337307685483,24,1102379.27688,0,90859.26758802297,0.0,90859.26758802297,63760889.535454705,0.0631347190585276,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-02-14,1008825507.4358525,1009927886.7127326,166781609.28596184,0.16532255385757766,22,1102379.27688,0,91171.29921294315,191939.57729040663,283110.87650334975,63979859.096802205,0.06307898969614896,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-02-17,1014456173.8291582,1015558553.1060382,100760727.27697052,0.09932486969509967,24,1102379.27688,0,93945.8839781438,0.0,93945.8839781438,65926936.125013195,0.06535018755877883,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-02-18,1020406132.534159,1021508511.811039,190545784.38425684,0.18673524032145913,22,1102379.27688,0,128512.37363120104,270552.3655393706,399064.7391705717,90184121.84645689,0.08889898269932019,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
2025-02-19,1018266900.1493415,1019369279.4262215,101375502.81573503,0.09955690674111772,23,1102379.27688,0,126886.83749171786,0.0,126886.83749171786,89043394.73103006,0.08726270049935167,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,BUY_CASH_CAP_CORRECTION,0.0
2025-02-20,1010817893.4134803,1011920272.6903603,187971694.78665915,0.18595999933468566,21,1102379.27688,0,123948.04365172576,260943.24979310686,384891.2934448326,86981083.26436895,0.08542071165390144,,,,,UNKNOWN_MISSING_HISTORICAL_ETF_HOLDINGS,BLOCK_SUBMISSION,0,SELL_THEN_WAIT_SETTLEMENT,0.0
